pv/IK-I'K';active;Message a;Authentication sanity;event(RecvMsg(bob, alice, stagepack_a(sid_b), msg)) ==> (event(SendMsg(alice, bob, stagepack_a(sid_a), msg)));event(RecvMsg(bob,alice,stagepack_a(sid_b),msg)) ==> event(SendMsg(alice,bob,stagepack_a(sid_a),msg));is true
pv/IK-I'K';active;Message a;Authentication 1;event(RecvMsg(bob, alice, stagepack_a(sid_b), msg)) ==> (event(SendMsg(alice, c, stagepack_a(sid_a), msg)))  || ((event(LeakS(phase0, bob))) && (event(LeakM(phase0, bob))));event(RecvMsg(bob,alice,stagepack_a(sid_b),msg)) ==> event(SendMsg(alice,c,stagepack_a(sid_a),msg)) || (event(LeakS(phase0,bob)) && event(LeakM(phase0,bob)));is true
pv/IK-I'K';active;Message a;Authentication 2;event(RecvMsg(bob, alice, stagepack_a(sid_b), msg)) ==> (event(SendMsg(alice, c, stagepack_a(sid_a), msg))) ;event(RecvMsg(bob,alice,stagepack_a(sid_b),msg)) ==> event(SendMsg(alice,c,stagepack_a(sid_a),msg));is true
pv/IK-I'K';active;Message a;Authentication 3;event(RecvMsg(bob, alice, stagepack_a(sid_b), msg)) ==> (event(SendMsg(alice, bob, stagepack_a(sid_a), msg)))  || ((event(LeakS(phase0, bob))) && (event(LeakM(phase0, bob))));event(RecvMsg(bob,alice,stagepack_a(sid_b),msg)) ==> event(SendMsg(alice,bob,stagepack_a(sid_a),msg)) || (event(LeakS(phase0,bob)) && event(LeakM(phase0,bob)));is true
pv/IK-I'K';active;Message a;Authentication 4;event(RecvMsg(bob, alice, stagepack_a(sid_b), msg)) ==> (event(SendMsg(alice, bob, stagepack_a(sid_a), msg))) ;event(RecvMsg(bob,alice,stagepack_a(sid_b),msg)) ==> event(SendMsg(alice,bob,stagepack_a(sid_a),msg));is true
pv/IK-I'K';active;Message a;Confidentiality sanity;attacker(msg_a(alice, bob, sid_a));not attacker_p1(msg_a(alice,bob,sid_a));cannot be proved
pv/IK-I'K';active;Message a;Confidentiality 2;attacker(msg_a(alice, bob, sid_a)) ==> (event(LeakS(px, bob)) && event(LeakM(px, bob)));attacker_p1(msg_a(alice,bob,sid_a)) ==> event(LeakS(px,bob)) && event(LeakM(px,bob));is true
pv/IK-I'K';active;Message a;Confidentiality 4;attacker(msg_a(alice, bob, sid_a)) ==> ((event(LeakS(phase0, bob)) && event(LeakM(phase0, bob)))) || ((event(LeakS(px, bob)) && event(LeakM(px, bob))) && (event(LeakS(pz, alice)) && event(LeakM(pz, alice))));attacker_p1(msg_a(alice,bob,sid_a)) ==> (event(LeakS(phase0,bob)) && event(LeakM(phase0,bob))) || (event(LeakS(px,bob)) && event(LeakM(px,bob)) && event(LeakS(pz,alice)) && event(LeakM(pz,alice)));cannot be proved
pv/IK-I'K';active;Message a;Confidentiality 5;attacker(msg_a(alice, bob, sid_a)) ==> ((event(LeakS(phase0, bob)) && event(LeakM(phase0, bob))));attacker_p1(msg_a(alice,bob,sid_a)) ==> event(LeakS(phase0,bob)) && event(LeakM(phase0,bob));cannot be proved
pv/IK-I'K';active;Message b;Authentication sanity;event(RecvMsg(alice, bob, stagepack_b(sid_a), msg)) ==> (event(SendMsg(bob, alice, stagepack_b(sid_b), msg)));event(RecvMsg(alice,bob,stagepack_b(sid_a),msg)) ==> event(SendMsg(bob,alice,stagepack_b(sid_b),msg));cannot be proved
